datetime,symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size,LIQ_SIDE
2024-06-04 14:35:34.123,WIF,SELL,LIMIT,IOC,1515.7,3.2590336,3.3091669,FILLED,303.8,1515.7,1717511734123,4939.71722752,L LIQ
2024-06-04 15:28:16.203,WIF,SELL,LIMIT,IOC,1311.7,3.2482668,3.2981675,FILLED,385.4,1311.7,1717514896203,4260.7515615600005,L LIQ
2024-06-04 15:45:59.688,WIF,BUY,LIMIT,IOC,1510.5,3.3762079,3.3284245,FILLED,201.3,1510.5,1717515959688,5099.76203295,S LIQ
2024-06-04 16:04:03.283,WIF,BUY,LIMIT,IOC,1019.3,3.4220319,3.3716316,FILLED,23.1,1019.3,1717517043283,3488.07711567,S LIQ
2024-06-04 16:19:31.411,WIF,BUY,LIMIT,IOC,3475.4,3.5020002,3.4543057,FILLED,21.5,3475.4,1717517971411,12170.85149508,S LIQ
2024-06-04 16:20:10.517,WIF,SELL,LIMIT,IOC,930.0,3.3767869,3.4302597,FILLED,161.5,930.0,1717518010517,3140.411817,L LIQ
2024-06-04 17:49:48.663,WIF,BUY,LIMIT,IOC,1673.1,3.5128697,3.4588,FILLED,8.0,1673.1,1717523388663,5877.38229507,S LIQ
2024-06-04 19:01:33.657,WIF,SELL,LIMIT,IOC,1070.7,3.3860638,3.4383646,FILLED,23.7,1070.7,1717527693657,3625.45851066,L LIQ
2024-06-04 19:07:17.148,WIF,SELL,LIMIT,IOC,1144.9,3.3770033,3.4251965,FILLED,90.6,1144.9,1717528037148,3866.3310781700006,L LIQ
2024-06-04 19:18:46.078,WIF,SELL,LIMIT,IOC,1261.0,3.3603586,3.4110926,FILLED,32.1,1261.0,1717528726078,4237.4121946000005,L LIQ
2024-06-04 19:38:05.095,WIF,SELL,LIMIT,IOC,1459.8,3.3152012,3.3619111,FILLED,148.5,1459.8,1717529885095,4839.5307117600005,L LIQ
2024-06-04 19:38:40.420,WIF,SELL,LIMIT,IOC,1464.6,3.3134416,3.3617757,FILLED,6.8,1464.6,1717529920420,4852.86656736,L LIQ
2024-06-04 21:18:28.098,WIF,SELL,LIMIT,IOC,1383.4,3.3036777,3.3542082,FILLED,155.9,1383.4,1717535908098,4570.30773018,L LIQ
2024-06-04 22:17:48.235,WIF,BUY,LIMIT,IOC,1474.8,3.4349152,3.3873872,FILLED,852.3,1474.8,1717539468235,5065.812936959999,S LIQ
2024-06-05 00:24:19.654,WIF,BUY,LIMIT,IOC,1471.0,3.4822031,3.4313599,FILLED,222.1,1471.0,1717547059654,5122.3207601,S LIQ
2024-06-05 01:49:39.124,WIF,BUY,LIMIT,IOC,1465.0,3.5331144,3.4840429,FILLED,6.7,1465.0,1717552179124,5176.0125960000005,S LIQ
2024-06-05 02:01:11.332,WIF,BUY,LIMIT,IOC,1181.1,3.555374,3.5065587,FILLED,76.3,1181.1,1717552871332,4199.2522314,S LIQ
2024-06-05 02:01:16.346,WIF,BUY,LIMIT,IOC,1432.1,3.5588321,3.5079935,FILLED,71.6,1432.1,1717552876346,5096.60345041,S LIQ
2024-06-05 02:18:15.470,WIF,BUY,LIMIT,IOC,1423.6,3.5800524,3.529017,FILLED,5.0,1423.6,1717553895470,5096.562596639999,S LIQ
2024-06-05 02:19:46.125,WIF,BUY,LIMIT,IOC,4149.3,3.5973929,3.5347086,FILLED,75.2,4149.3,1717553986125,14926.66235997,S LIQ
